X,CH1,
Second,Volt,
-1.1060079e+00,-8.00000e-02,
-1.1058614e+00,0.00000e+00,
-1.1057149e+00,-8.00000e-02,
-1.1055684e+00,0.00000e+00,
-1.1054219e+00,-1.60000e-01,
-1.1052755e+00,0.00000e+00,
-1.1051290e+00,-1.60000e-01,
-1.1049825e+00,0.00000e+00,
-1.1048360e+00,0.00000e+00,
-1.1046895e+00,0.00000e+00,
-1.1045431e+00,0.00000e+00,
-1.1043966e+00,-1.60000e-01,
-1.1042501e+00,-1.60000e-01,
-1.1041036e+00,0.00000e+00,
-1.1039571e+00,-8.00000e-02,
-1.1038107e+00,-2.40000e-01,
-1.1036642e+00,-1.60000e-01,
-1.1035177e+00,0.00000e+00,
-1.1033711e+00,-1.60000e-01,
-1.1032246e+00,-1.60000e-01,
-1.1030782e+00,-8.00000e-02,
-1.1029317e+00,-1.60000e-01,
-1.1027852e+00,-1.60000e-01,
-1.1026387e+00,-1.60000e-01,
-1.1024922e+00,-1.60000e-01,
-1.1023458e+00,-1.60000e-01,
-1.1021993e+00,-8.00000e-02,
-1.1020528e+00,-1.60000e-01,
-1.1019063e+00,-1.60000e-01,
-1.1017598e+00,8.00000e-02,
-1.1016134e+00,0.00000e+00,
-1.1014669e+00,0.00000e+00,
-1.1013204e+00,-8.00000e-02,
-1.1011739e+00,0.00000e+00,
-1.1010274e+00,0.00000e+00,
-1.1008810e+00,-1.60000e-01,
-1.1007345e+00,-8.00000e-02,
-1.1005880e+00,-8.00000e-02,
-1.1004415e+00,-1.60000e-01,
-1.1002949e+00,-2.40000e-01,
-1.1001486e+00,0.00000e+00,
-1.1000021e+00,-1.60000e-01,
-1.0998555e+00,-2.40000e-01,
-1.0997090e+00,-8.00000e-02,
-1.0995625e+00,-2.40000e-01,
-1.0994161e+00,-1.60000e-01,
-1.0992696e+00,-1.60000e-01,
-1.0991231e+00,-8.00000e-02,
-1.0989766e+00,0.00000e+00,
-1.0988301e+00,0.00000e+00,
-1.0986837e+00,-8.00000e-02,
-1.0985372e+00,0.00000e+00,
-1.0983907e+00,-1.60000e-01,
-1.0982442e+00,0.00000e+00,
-1.0980977e+00,-1.60000e-01,
-1.0979513e+00,-1.60000e-01,
-1.0978048e+00,-3.20000e-01,
-1.0976583e+00,-8.00000e-02,
-1.0975118e+00,-1.60000e-01,
-1.0973653e+00,-8.00000e-02,
-1.0972189e+00,-8.00000e-02,
-1.0970724e+00,-8.00000e-02,
-1.0969259e+00,0.00000e+00,
-1.0967793e+00,-1.60000e-01,
-1.0966328e+00,-1.60000e-01,
-1.0964864e+00,0.00000e+00,
-1.0963399e+00,8.00000e-02,
-1.0961934e+00,0.00000e+00,
-1.0960469e+00,0.00000e+00,
-1.0959004e+00,0.00000e+00,
-1.0957540e+00,-1.60000e-01,
-1.0956075e+00,-2.40000e-01,
-1.0954610e+00,-2.40000e-01,
-1.0953145e+00,-1.60000e-01,
-1.0951680e+00,8.00000e-02,
